STATES,PARTY,REGVOTERS,VOTES 
ABIA,PDP,1932892,344471
ADAMAWA,PDP,1973083,860756
AKWA IBOM,PDP,2119727,605140
ANAMBRA,PDP,2447996,625035
BAUCHI,APC,2462843,1061955
BAYELSA,PDP,923182,335856
BENUE,PDP,2480131,763872
BORNO,APC,2315956,955205
CROSSRIVER,PDP,1527289,446046
DELTA,PDP,2845274,882254
EBONYI,PDP,1459933,379394
EDO,PDP,2210534,599228
EKITI,APC,909967,393709
ENUGU,PDP,1944016,451063
FCT,PDP,1344856,451408
GOMBE,APC,1394393,580649
IMO,PDP,2272293,542777
JIGAWA,APC,2111106,1149922
KADUNA,APC,3932492,1709005
KANO,APC,5457747,1964751
KASTINA,APC,3230230,1619185
KEBBI,APC,1806231,803755
KOGI,APC,1646350,553496
KWARA,APC,1406457,486254
LAGOS,APC,6570291,1156590
NASSARAWA,APC,1617786,599399
NIGER,APC,2390035,896976
OGUN,APC,2375003,605938
ONDO,PDP,1822346,586827
OSUN,APC,1680498,731882
OYO,PDP,2934107,891080
PLATEAU,PDP,2480455,1062862
RIVERS,PDP,3215273,666585
SOKOTO,APC,1903166,925940
TARABA,PDP,1777105,741564
YOBE,APC,1365913,586137
ZAMFARA,APC,1717128,597224
